"Date Time, GMT -0800","Temp, (*F)",Button Down,Button Up,Host Connect,EOF
2/27/20 20:40,57.92, , , , 
2/27/20 20:50,57.69, , , , 
2/27/20 21:00,57.54, , , , 
2/27/20 21:10,57.3, , , , 
2/27/20 21:20,57.09, , , , 
2/27/20 21:30,56.88, , , , 
2/27/20 21:40,56.67, , , , 
2/27/20 21:50,56.49, , , , 
2/27/20 22:00,56.3, , , , 
2/27/20 22:10,56.17, , , , 
2/27/20 22:20,56.05, , , , 
2/27/20 22:30,55.91, , , , 
2/27/20 22:40,55.74, , , , 
2/27/20 22:50,55.64, , , , 
2/27/20 23:00,55.55, , , , 
2/27/20 23:10,55.43, , , , 
2/27/20 23:20,55.2, , , , 
2/27/20 23:30,55.41, , , , 
2/27/20 23:40,55.76, , , , 
2/27/20 23:50,55.93, , , , 
2/28/20 0:00,56.07, , , , 
2/28/20 0:10,56.09, , , , 
2/28/20 0:20,55.43, , , , 
2/28/20 0:30,55.47, , , , 
2/28/20 0:40,55.68, , , , 
2/28/20 0:50,55.3, , , , 
2/28/20 1:00,55.1, , , , 
2/28/20 1:10,55.12, , , , 
2/28/20 1:20,54.99, , , , 
2/28/20 1:30,55.16, , , , 
2/28/20 1:40,55.01, , , , 
2/28/20 1:50,54.87, , , , 
2/28/20 2:00,54.79, , , , 
2/28/20 2:10,54.78, , , , 
2/28/20 2:20,54.81, , , , 
2/28/20 2:30,54.93, , , , 
2/28/20 2:40,54.41, , , , 
2/28/20 2:50,54.47, , , , 
2/28/20 3:00,54.7, , , , 
2/28/20 3:10,54.81, , , , 
2/28/20 3:20,54.79, , , , 
2/28/20 3:30,54.74, , , , 
2/28/20 3:40,54.56, , , , 
2/28/20 3:50,54.39, , , , 
2/28/20 4:00,54.14, , , , 
2/28/20 4:10,54, , , , 
2/28/20 4:20,53.85, , , , 
2/28/20 4:30,53.62, , , , 
2/28/20 4:40,53.37, , , , 
2/28/20 4:50,53.15, , , , 
2/28/20 5:00,53.06, , , , 
2/28/20 5:10,52.96, , , , 
2/28/20 5:20,52.84, , , , 
2/28/20 5:30,52.79, , , , 
2/28/20 5:40,52.52, , , , 
2/28/20 5:50,52.4, , , , 
2/28/20 6:00,52.46, , , , 
2/28/20 6:10,52.23, , , , 
2/28/20 6:20,52.13, , , , 
2/28/20 6:30,51.98, , , , 
2/28/20 6:40,51.88, , , , 
2/28/20 6:50,51.82, , , , 
2/28/20 7:00,51.82, , , , 
2/28/20 7:10,51.84, , , , 
2/28/20 7:20,51.9, , , , 
2/28/20 7:30,52.11, , , , 
2/28/20 7:40,52.36, , , , 
2/28/20 7:50,52.88, , , , 
2/28/20 8:00,53.44, , , , 
2/28/20 8:10,53.96, , , , 
2/28/20 8:20,54.33, , , , 
2/28/20 8:30,55.37, , , , 
2/28/20 8:40,56.05, , , , 
2/28/20 8:50,56.74, , , , 
2/28/20 9:00,57.54, , , , 
2/28/20 9:10,58.54, , , , 
2/28/20 9:20,59.43, , , , 
2/28/20 9:30,60.82, , , , 
2/28/20 9:40,61.92, , , , 
2/28/20 9:50,62.38, , , , 
2/28/20 10:00,62.94, , , , 
2/28/20 10:10,64.27, , , , 
2/28/20 10:20,65.61, , , , 
2/28/20 10:30,66.11, , , , 
2/28/20 10:40,67.32, , , , 
2/28/20 10:50,68.67, , , , 
2/28/20 11:00,70.01, , , , 
2/28/20 11:10,70.53, , , , 
2/28/20 11:20,71.24, , , , 
2/28/20 11:30,72.57, , , , 
2/28/20 11:40,73.39, , , , 
2/28/20 11:50,74.25, , , , 
2/28/20 12:00,73.23, , , , 
2/28/20 12:10,74.2, , , , 
2/28/20 12:20,75.24, , , , 
2/28/20 12:30,75.8, , , , 
2/28/20 12:40,76.34, , , , 
2/28/20 12:50,76.63, , , , 
2/28/20 13:00,76.71, , , , 
2/28/20 13:10,76.78, , , , 
2/28/20 13:20,76.65, , , , 
2/28/20 13:30,76.69, , , , 
2/28/20 13:40,76.59, , , , 
2/28/20 13:50,76.18, , , , 
2/28/20 14:00,75.2, , , , 
2/28/20 14:10,74.02, , , , 
2/28/20 14:20,74.22, , , , 
2/28/20 14:30,74.22, , , , 
2/28/20 14:40,73.87, , , , 
2/28/20 14:50,73.12, , , , 
2/28/20 15:00,72.03, , , , 
2/28/20 15:10,71.01, , , , 
2/28/20 15:20,70.24, , , , 
2/28/20 15:30,69.31, , , , 
2/28/20 15:40,68.48, , , , 
2/28/20 15:50,67.92, , , , 
2/28/20 16:00,67.42, , , , 
2/28/20 16:10,66.96, , , , 
2/28/20 16:20,66.45, , , , 
2/28/20 16:30,65.95, , , , 
2/28/20 16:40,65.47, , , , 
2/28/20 16:50,64.99, , , , 
2/28/20 17:00,64.56, , , , 
2/28/20 17:10,64.14, , , , 
2/28/20 17:20,63.56, , , , 
2/28/20 17:30,63.06, , , , 
2/28/20 17:40,62.61, , , , 
2/28/20 17:50,62.17, , , , 
2/28/20 18:00,61.57, , , , 
2/28/20 18:10,60.99, , , , 
2/28/20 18:20,60.55, , , , 
2/28/20 18:30,60.1, , , , 
2/28/20 18:40,59.76, , , , 
2/28/20 18:50,59.5, , , , 
2/28/20 19:00,59.29, , , , 
2/28/20 19:10,59.12, , , , 
2/28/20 19:20,58.91, , , , 
2/28/20 19:30,58.69, , , , 
2/28/20 19:40,58.5, , , , 
2/28/20 19:50,58.31, , , , 
2/28/20 20:00,58.13, , , , 
2/28/20 20:10,57.96, , , , 
2/28/20 20:20,57.79, , , , 
2/28/20 20:30,57.59, , , , 
2/28/20 20:40,57.56, , , , 
2/28/20 20:50,57.57, , , , 
2/28/20 21:00,57.56, , , , 
2/28/20 21:10,57.44, , , , 
2/28/20 21:20,57.44, , , , 
2/28/20 21:30,57.34, , , , 
2/28/20 21:40,57.25, , , , 
2/28/20 21:50,57.15, , , , 
2/28/20 22:00,57.01, , , , 
2/28/20 22:10,56.94, , , , 
2/28/20 22:20,56.9, , , , 
2/28/20 22:30,56.88, , , , 
2/28/20 22:40,56.8, , , , 
2/28/20 22:50,56.8, , , , 
2/28/20 23:00,56.8, , , , 
2/28/20 23:10,56.76, , , , 
2/28/20 23:20,56.72, , , , 
2/28/20 23:30,56.72, , , , 
2/28/20 23:40,56.76, , , , 
2/28/20 23:50,56.71, , , , 
2/29/20 0:00,56.63, , , , 
2/29/20 0:10,56.61, , , , 
2/29/20 0:20,56.61, , , , 
2/29/20 0:30,56.57, , , , 
2/29/20 0:40,56.49, , , , 
2/29/20 0:50,56.47, , , , 
2/29/20 1:00,56.45, , , , 
2/29/20 1:10,56.47, , , , 
2/29/20 1:20,56.45, , , , 
2/29/20 1:30,56.44, , , , 
2/29/20 1:40,56.61, , , , 
2/29/20 1:50,56.65, , , , 
2/29/20 2:00,56.67, , , , 
2/29/20 2:10,55.47, , , , 
2/29/20 2:20,55.84, , , , 
2/29/20 2:30,55.97, , , , 
2/29/20 2:40,56.03, , , , 
2/29/20 2:50,55.55, , , , 
2/29/20 3:00,55.51, , , , 
2/29/20 3:10,55.7, , , , 
2/29/20 3:20,55.7, , , , 
2/29/20 3:30,55.74, , , , 
2/29/20 3:40,55.74, , , , 
2/29/20 3:50,55.68, , , , 
2/29/20 4:00,55.62, , , , 
2/29/20 4:10,55.55, , , , 
2/29/20 4:20,55.47, , , , 
2/29/20 4:30,55.45, , , , 
2/29/20 4:40,55.37, , , , 
2/29/20 4:50,55.32, , , , 
2/29/20 5:00,55.33, , , , 
2/29/20 5:10,55.24, , , , 
2/29/20 5:20,55.16, , , , 
2/29/20 5:30,55.12, , , , 
2/29/20 5:40,55.06, , , , 
2/29/20 5:50,55.01, , , , 
2/29/20 6:00,54.95, , , , 
2/29/20 6:10,54.89, , , , 
2/29/20 6:20,54.79, , , , 
2/29/20 6:30,54.68, , , , 
2/29/20 6:40,54.52, , , , 
2/29/20 6:50,54.37, , , , 
2/29/20 7:00,54.31, , , , 
2/29/20 7:10,54.2, , , , 
2/29/20 7:20,54.23, , , , 
2/29/20 7:30,54.5, , , , 
2/29/20 7:40,54.89, , , , 
2/29/20 7:50,55.1, , , , 
2/29/20 8:00,55.76, , , , 
